HOST_NAME,MAX(HOST_LISTINGS_COUNT),AVG(REVIEW_SCORES_RATING)
Yays Zoutkeetsgracht,7,80.000000
Diogo,7,99.000000
Prince,7,92.750000
Thierry,7,96.333333
Amrath,7,
Esther,7,95.489796
Martin&Tina,7,88.000000
Taia,6,95.000000
Michelle,6,95.487179
Adam,6,91.700000
Celeste,6,98.000000
Rick,6,95.406250
Tony,6,92.750000
Mariska,6,94.200000
Ronald,6,96.153846
Inge,6,94.409091
Jesper,6,90.900000
Melissa,6,93.583333
James,6,91.562500
Suzanne,6,96.285714
Nabil,6,88.428571
Max,6,95.142857
Nick,6,93.593750
Pauline,6,90.962963
Nico,6,96.083333
Bianca,6,88.000000
Janine,6,90.466667
Reiner,6,100.000000
Eddy,6,84.200000
Pedja&Nina,6,95.000000
Lucy,6,98.000000
Harun,6,92.400000
Sj,6,97.000000
Hans Paul,6,75.800000
Valentijn,6,92.500000
Yays Oostenburgergracht,6,100.000000
Nicole,6,97.000000
Tom,6,95.711111
Yuri,6,97.000000
Eva,6,95.531646
Asile Flottant,6,98.200000
Oz,5,87.000000
Karen,5,96.666667
Riks,5,92.200000
Renate,5,95.333333
Cemal,5,84.250000
Ton,5,90.777778
Emma,5,93.217391
Simona,5,93.600000
Floris,5,95.730769
Yael,5,90.833333
Anne,5,95.333333
Celia,5,95.600000
Wijnand,5,94.666667
Liberte 1,5,92.000000
Tanja,5,92.333333
Tycho,5,96.500000
Akhmad,5,66.333333
Taneisha,5,95.000000
Angie,5,93.833333
Stefan,5,92.382353
Alexia,5,89.250000
Wouter,5,94.529412
Sarah,5,94.619048
Zoe,5,88.000000
Soran,5,90.000000
Jo,5,96.333333
Mewis,5,98.000000
Studio,5,92.500000
Esther (Mal And Ana),5,92.400000
Lesley,5,92.777778
Marianne,5,94.357143
Keizershof,5,96.000000
Rianne,5,96.583333
Waseem,5,
Lorin,4,100.000000
Julie,4,95.950000
Maya,4,97.428571
Peter,4,95.343284
Liv,4,98.333333
Will,4,90.500000
Hus,4,92.000000
M,4,96.500000
Klaas,4,96.615385
Alexandra,4,95.470588
Gina,4,92.888889
H.K.M,4,94.500000
Short Stay Group Eastern Docklands,4,100.000000
Miauw,4,95.750000
Saskia,4,93.812500
Joshua,4,85.285714
Ralf,4,91.000000
Anisha,4,83.000000
Lasha,4,83.000000
Marcel,4,95.766667
Cees,4,90.125000
Polyconsult B.V.B.A.,4,95.500000
Tamara,4,95.400000
Faralda,4,97.250000
Angelika,4,98.000000
Xuhui,4,94.500000
Zina,4,91.000000
Na,4,95.000000
Hetty,4,93.666667
Robbert,4,92.333333
Sharon,4,96.315789
Margot,4,96.833333
David Elise,4,100.000000
Tanguy,4,92.000000
Lupe,4,83.000000
Ray,4,73.750000
Maartje,4,93.900000
Zoku Amsterdam,4,98.500000
Michiel,4,95.075758
Lu,4,95.000000
Fong,4,87.400000
F. Oya,4,92.333333
Mirthe,4,93.400000
Sanne,4,96.058824
Joke,4,96.428571
Jaap,4,97.526316
Nadim & Robert,4,93.000000
Margarita,4,91.500000
A.,4,88.400000
Nanda,4,96.000000
Arjan,4,96.200000
Gianpaolo,4,100.000000
Krit,4,
Susan,4,95.777778
Margreet,4,98.300000
Patrick,4,92.333333
Boudewijn,4,95.000000
Dan,4,92.100000
Fred,4,94.571429
Natalie,4,93.250000
Jacques,4,96.500000
Jordi,4,94.428571
Ivan,4,88.700000
Alexander,4,94.425000
Bart & Kiki,4,
Miek,4,91.000000
Sara,4,90.750000
Luiz,4,86.000000
Hans,4,95.795455
Ella,4,90.300000
Firo & Adam,4,92.000000
R,4,93.666667
Louis,4,96.416667
Natasja And Mylan,4,90.750000
Jil,4,95.500000
Fernando,4,98.600000
Anne-Sophie,4,92.250000
Dominykas,4,87.000000
Kith & Kin,4,96.000000
C.T.,4,90.500000
Corrien,3,90.000000
Johan,3,97.315789
Lena,3,93.454545
Amsterdam RAI/ThePIJP Apartment,3,100.000000
Jane,3,94.500000
Evgeniya,3,100.000000
Andrew,3,93.700000
Dylan,3,98.750000
Catherine,3,95.000000
Helen,3,93.733333
Short Stay Group Dapper Market,3,
Anton,3,93.888889
Richard En Birgit,3,92.666667
Adam & Eve,3,100.000000
Castrum Peregrini,3,97.000000
Stine,3,96.000000
Shalom,3,82.000000
Paul & Daan,3,91.666667
Daniel & Julia-Beth,3,98.000000
Daphny,3,100.000000
Isabel,3,89.400000
Serena,3,100.000000
Sif,3,
Maurane,3,88.000000
Ricardo,3,92.500000
Chafia,3,90.000000
Ramon,3,92.875000
Sam,3,92.451613
Mirjam & Rudy,3,96.500000
Rogier,3,96.461538
Mohanned,3,84.000000
Mirella,3,87.250000
Theo,3,94.000000
Jochum,3,91.333333
Kees Vd Vooren,3,91.333333
Tiwaline,3,
Irina,3,93.000000
Miguel,3,95.750000
Chris,3,96.516129
Evert,3,96.090909
Marielle,3,97.000000
Mia,3,92.000000
Melanie,3,91.227273
Jimmy,3,94.833333
Babette,3,97.222222
Yara,3,96.000000
Tonino,3,97.000000
Henning,3,97.000000
Job,3,96.428571
Jordan & Sarah,3,96.666667
Edwin,3,95.411765
Marty,3,97.000000
Sun,3,95.333333
Wilfred,3,97.750000
Tijs,3,97.000000
Charles,3,97.555556
Silvia,3,93.923077
Toetsie,3,97.333333
Rikkert,3,93.571429
Aqiel,3,89.666667
Anneke,3,96.636364
Nienke,3,94.617647
Henri,3,91.000000
Nicola,3,79.000000
Dina-Perla,3,93.666667
Auke,3,98.333333
Joost,3,95.546875
Marlijn,3,98.500000
Neil,3,96.500000
Pratyush,3,100.000000
Nima,3,91.000000
Ditta,3,97.000000
Adrian,3,93.833333
Sherry,3,87.000000
Florie,3,95.000000
Sabrine,3,99.000000
Kitt,3,93.666667
Taco,3,90.000000
Kate,3,93.357143
Mo,3,87.333333
Franny,3,94.000000
Alejandra,3,96.000000
Tahsin,3,95.000000
Anderson,3,89.666667
Di,3,97.000000
Sonia,3,97.000000
Laetitia,3,96.000000
Vincent,3,94.351351
Joke  And Gerard,3,98.000000
Tessa & Romain,3,98.500000
Altagracia,3,92.666667
Jan-Willem,3,96.250000
Evita,3,95.333333
Tony & Yulia,3,97.000000
Feryad,3,87.000000
Rutger,3,92.250000
Marina,3,94.300000
Doutzen,3,93.333333
Marloes & Gabriel,3,98.000000
Rachel,3,96.500000
Iekeliene,3,100.000000
Karijn,3,97.000000
Laurens Servaas,3,90.500000
Joey,3,96.500000
Laszlo,3,99.000000
Leo,3,95.500000
Olivier,3,92.687500
Linda & Arjan,3,
Emmelie,3,97.500000
Vlatko,3,100.000000
Maxim,3,94.200000
Pamela,3,92.200000
Jeroen & Helmie,3,93.000000
Stefanos,3,96.000000
Mimi,3,94.555556
Tolga,3,100.000000
Vagarsh,3,97.000000
Mauro,3,91.000000
Stephan,3,94.666667
Robin,3,96.793103
Monique,3,97.031250
Henry,3,97.833333
Rob,3,95.156863
Parag,3,99.000000
Vladimir,3,95.142857
Ange,3,92.666667
Your Amsterdam Home,3,92.500000
Riyadh And Miriam,3,90.000000
Sasja,3,96.500000
Nina&Predrag,3,95.000000
Patricia,3,98.066667
Marta,3,94.000000
Malagueta,3,89.333333
Susan Kimberley,3,97.500000
Marijke,3,95.058824
Giulio,3,93.000000
Juri,3,95.500000
Joris,3,95.214286
Synco,3,98.500000
Jan En Lisanne,3,100.000000
Karin,3,96.743590
Annette,3,92.833333
Oma,3,97.666667
Bastiaan,3,97.176471
Talia,3,95.000000
Sietske,3,96.000000
Susanne,3,96.333333
Anouk,3,94.945946
Alondra,3,98.000000
Nathalie,3,95.851852
Eelco,3,94.777778
Bob & Menno,3,99.000000
Marlous,3,92.000000
Jacob,3,94.714286
Remy,3,94.000000
Germaine,3,96.000000
Tina,3,95.857143
Gijs,3,95.538462
Charlotte,3,95.040816
Rollan,3,
Petra,3,97.178571
Jurjen,3,96.666667
Aldo,3,91.000000
Pieter,3,95.767442
Santiago & Tony,3,94.500000
Sander Willem,3,83.000000
Maarten,3,95.328358
Michael,3,95.705882
Mathilde,3,97.000000
Natalia,3,95.000000
Maurice,3,96.285714
Lise,3,94.428571
Carmen,3,97.090909
La Bella,3,88.000000
Hein,3,95.923077
Lucas & Marlous,3,95.000000
Janeth,3,96.000000
Maud,3,95.866667
Johnathan,3,100.000000
Nicolette,3,98.500000
Olguita,3,96.000000
Bjorn,3,94.250000
Steffie,3,94.666667
Marfi,3,86.333333
Daniel,3,94.311111
Juliette,3,97.333333
Doet,3,92.666667
Jeremy,3,92.333333
Paquito,3,94.333333
Fleur,3,94.718750
Mary,3,94.800000
Joyce,3,96.588235
Frank,3,95.250000
Xandra,3,98.000000
Nady & Elroy,3,86.500000
Manon,3,97.227273
Leon,3,95.421053
Markus,3,93.000000
Laura & Emiel,3,99.000000
Jurek,3,95.000000
Minne,3,91.800000
Bart,3,95.278689
Jorrit,3,94.166667
Maria & Antonis,3,92.000000
Glendon,3,96.000000
Migo,3,90.500000
Lieke,3,95.200000
Hedwig,3,93.200000
Maria,3,94.370370
Tako,3,98.000000
Sarah & Steve,3,93.000000
Lidwien,3,92.000000
Eldad & Louise,3,98.333333
Morgane,3,99.000000
Mira,3,96.500000
Ingrid,3,92.952381
Irmak,3,96.000000
Boogaard's BnB,3,94.000000
Greta,3,98.000000
Harmjan,3,100.000000
Lisa,3,94.437500
Automne,3,90.000000
Kim,3,95.370370
Samuel,3,98.666667
Naomi,3,94.714286
Ron,3,93.444444
Julio,3,90.000000
Leonardo,3,92.000000
UrbanTulip,3,98.000000
Dick,3,95.727273
Thierry Tasso,3,95.666667
Emma & Albi,3,97.000000
Nina,3,96.564103
Freek,2,96.384615
Mi BnB - Your Home In Amsterdam,2,86.500000
Michal,2,98.000000
Rebekka,2,95.333333
Charissa,2,94.000000
Cecile,2,90.000000
Filippo,2,96.666667
Nina Inna,2,84.000000
Haffie,2,90.000000
Anouke,2,96.000000
Edgar,2,88.600000
Tal,2,100.000000
Marc & Margriet,2,100.000000
Jikke,2,95.400000
Dana,2,96.444444
Aydin,2,92.500000
Tiffany,2,95.000000
Harry,2,95.555556
Pedro,2,89.714286
Lars,2,96.333333
Diana,2,94.437500
Karel,2,92.625000
Katie,2,99.250000
Manno,2,100.000000
Olivier&Marije,2,96.000000
Viola,2,97.666667
Lishia,2,100.000000
Joram,2,94.000000
Roderick,2,95.714286
Aron,2,96.000000
Helene,2,98.833333
Paola,2,95.666667
Marly,2,96.800000
Karina,2,95.333333
Jarle,2,
Tommy,2,96.428571
Jack,2,96.000000
Oscar En Lucy,2,96.500000
Vytautas,2,95.000000
Mandy,2,93.300000
Carlijn,2,97.583333
Kirsten,2,97.214286
Kenneth,2,96.600000
Faiza,2,98.000000
Andrii,2,92.500000
Thijs,2,96.500000
Mercy,2,93.500000
Wietske,2,94.500000
Emile,2,97.142857
Eddie,2,89.666667
Jochem,2,96.000000
Mischa,2,97.200000
Noud,2,99.000000
Yannick,2,99.250000
Giuseppe,2,90.750000
Arnoud,2,96.666667
Katelijne,2,97.000000
Roos,2,96.961538
Ben,2,97.250000
Jacqueline,2,96.615385
Oliver,2,94.333333
Yaz,2,96.000000
Wim,2,94.000000
Lisanne,2,95.000000
Janneke,2,96.000000
Otto,2,97.200000
Wytse,2,95.250000
Mario,2,96.000000
Minuka,2,100.000000
Lydia,2,95.833333
Gijs & Brigitte,2,98.000000
Linda,2,95.414634
Claire,2,93.727273
Caroline,2,95.906250
Heike,2,96.000000
Masha,2,90.333333
Roel,2,95.769231
Claudia,2,96.333333
Sophie,2,95.683333
Hilda,2,90.000000
Sebastiaan,2,94.409091
Rudi,2,87.500000
Jetta,2,96.000000
Sofia,2,87.500000
Carolien,2,97.600000
Christa,2,93.750000
Julius,2,97.833333
Merlijn,2,97.142857
Ivo,2,96.454545
Marie,2,96.333333
Steven,2,95.850000
Tania,2,96.666667
Amsterdam,2,88.750000
Michail,2,100.000000
Gianni,2,87.333333
Dene,2,91.500000
Jessica,2,93.312500
Franklin,2,97.000000
George,2,95.545455
Micha,2,96.000000
Joan,2,97.666667
Miro,2,95.800000
Oana,2,86.500000
Tim,2,95.528571
Moulay,2,88.000000
Sagit,2,98.000000
Laura B,2,98.000000
Rosana,2,96.000000
Loci,2,100.000000
Mickael,2,
Maikel,2,97.666667
Nana En Arjan,2,80.000000
Janet,2,91.400000
Irma,2,93.500000
Rudolf,2,96.333333
Benjamin,2,92.800000
Vikki,2,99.000000
Christa & Yvon,2,97.000000
Paul,2,94.359375
Martin & Smadar,2,98.000000
Tsarina,2,91.500000
Aemilia,2,97.000000
Gisèle And Simon,2,93.500000
Martin,2,95.880000
Dimphy,2,96.666667
Alexa & Scott,2,86.500000
Gerard,2,93.588235
Danielle,2,95.750000
Jorien,2,96.666667
Kjetil,2,91.000000
B&B HutSpot,2,87.000000
Michèle,2,94.750000
Barbara,2,97.044444
Mariana,2,94.500000
Yme,2,95.000000
Anneloes,2,94.200000
Rene,2,94.666667
Enrico,2,94.375000
Wilbert,2,97.000000
Pien,2,96.833333
Kathleen,2,97.000000
Mies,2,96.500000
Laurens,2,96.400000
Sofie,2,96.454545
Ruben And Gaby,2,92.500000
Ellen,2,96.033333
Truus,2,96.833333
Heleen,2,96.916667
Eveline,2,96.250000
Reinoud,2,100.000000
Joni,2,98.333333
Dicky,2,99.000000
Hilde,2,96.333333
Marjolein,2,97.320000
Driss And Bettina,2,99.000000
Patricia And Carlos,2,93.500000
Jos,2,93.562500
Erik And Mary Jo,2,95.000000
Judith,2,94.852941
Dennis,2,96.333333
Mirte,2,91.875000
Wout,2,96.000000
Bruno,2,98.000000
Tjeerd,2,96.000000
Roni,2,92.000000
Eline,2,95.185185
Ravir & Peter,2,95.000000
Imke,2,97.444444
Family Of 5,2,96.000000
Mariette,2,95.333333
Sabine,2,96.181818
Yan,2,92.333333
Rolien,2,93.333333
Ruth,2,94.000000
Andre,2,95.444444
Koen,2,93.821429
Benjamim,2,93.000000
Stef,2,96.333333
Daniël,2,96.833333
Liesbeth,2,96.500000
Daan,2,95.333333
Daniela,2,95.833333
Bob,2,94.562500
Elmar,2,97.500000
Han,2,98.400000
Martine,2,95.818182
Sonja,2,96.133333
Roel/Annelies,2,92.000000
Clemens,2,91.000000
Xsjong,2,93.000000
Simon,2,94.740741
Eugène,2,96.500000
Bram,2,95.500000
Jasper & Joline,2,97.500000
Djoke,2,94.000000
Adriaan,2,93.142857
Femke,2,93.333333
Jasmijn,2,94.166667
Guillermo,2,98.000000
Juul,2,98.666667
Marije,2,96.730769
Lodewijk & Esther,2,99.000000
Koen & Sjoerd,2,100.000000
Roxanne,2,95.333333
Waldo,2,94.000000
Alex & Ana,2,92.500000
Tapashia,2,100.000000
City,2,
Brom,2,98.000000
Ria,2,99.000000
Naouel,2,100.000000
Chichi,2,91.000000
Juan Francisco,2,98.500000
Orcun,2,96.000000
Darragh,2,98.000000
Bema,2,75.000000
Selma And Erol,2,94.000000
Tommaso,2,100.000000
Bart & Rachel,2,97.500000
Marguerite,2,99.000000
De Casa,2,84.000000
Yiannis,2,87.000000
Lorenzo,2,99.000000
Edison Alberto,2,74.500000
Sevda,2,98.000000
Thijs & Dilruba,2,99.000000
Valeska,2,94.000000
Wellington,2,79.500000
Brit,2,100.000000
Pieter & Hanneke,2,100.000000
Abby & Marlene,2,94.000000
Annemaria,2,98.000000
Nilo,2,93.000000
Mirtha,2,94.000000
Prema,2,91.500000
Naveal,2,98.000000
Dingchang,2,93.500000
Lisanne And David,2,98.000000
Babet,2,96.000000
Rienk,2,100.000000
Timothyyy,2,90.000000
Jopa,2,100.000000
Feli,2,90.000000
Dawn,2,90.000000
Hadewich,2,88.000000
Sara & Jean-Pierre,2,76.500000
House,2,100.000000
Anne-Laure,2,100.000000
Piotr,2,100.000000
Mohssin,2,85.000000
Arin,2,70.000000
Branimir,2,97.000000
Leonard,2,98.000000
Srijana,2,100.000000
Mervi,2,100.000000
Sandra Claros,2,90.000000
Irena,2,88.000000
Dionne,2,99.666667
Andrew & Ruth,2,
Iringo,2,97.500000
Meeke,2,97.000000
Marise,2,98.000000
Bart & Manon,2,98.000000
Maike & Caspar,2,98.000000
Gabi,2,
Reinout,2,91.600000
Aigerim,2,93.000000
Florentina,2,
Leny,2,100.000000
Dennie,2,94.666667
Eileen,2,100.000000
Paulo,2,97.666667
Jude,2,97.000000
Maura,2,93.000000
Nadja & Aydin,2,91.000000
Carlo,2,99.500000
Celestine,2,95.500000
Heredium,2,95.000000
Demi,2,89.333333
Marjolijn,2,97.750000
Bindy,2,91.500000
Lego,2,94.500000
Gabriel,2,85.666667
Fleurien,2,92.500000
Coco And Keeva,2,97.000000
Ashkaine,2,97.666667
Greet,2,99.000000
Chandan,2,93.000000
Frederico,2,100.000000
Amstel BNB & We  Box Homes,2,
Fraas,2,94.500000
Gabriëlle,2,95.000000
Jefferson,2,
Vlad & Marina,2,94.500000
Hillegonda,2,94.000000
Darijo,2,89.000000
Melina,2,93.000000
Daylien,2,100.000000
Sjoerd & Rosalie,2,94.500000
Vin,2,95.000000
Adaluz,2,90.500000
Janmaarten,2,90.500000
Manuela,2,95.000000
Kofi,2,99.000000
Оксана,2,85.000000
Haenk,2,98.500000
Fernando E Taís,2,98.500000
Martin&Lauri,2,91.000000
Anco,2,93.000000
Tessel,2,100.000000
Christiana,2,95.000000
Aura,2,85.000000
Pieter & Izabela,2,97.000000
Hadewijch,2,95.500000
Gabriella,2,96.000000
Jochem&Phila,2,97.000000
Mik & Isabelle,2,99.000000
Pascha,2,94.000000
Mars,2,83.500000
Lorrach,2,
Pepe,2,98.000000
Leontien,2,97.750000
Mar En Wil,2,98.000000
Jira,2,
Yah,2,100.000000
Anoeska,2,87.000000
Amadeus,2,95.000000
Mayank,2,84.000000
Damaris,2,98.500000
Fredrik,2,100.000000
Tom & Dorien,2,92.500000
Romina,2,94.000000
Ciccio,2,96.000000
Novella,2,91.000000
Nastassja,2,97.500000
Nyaki,2,94.500000
Matan,2,98.500000
"Harry, Ivana",2,100.000000
Amélie,2,98.000000
Katelijn,2,96.500000
Rachele,2,96.000000
Anne-Celine,2,99.000000
Appie & Babette,2,94.000000
Reineke,2,99.000000
Abdullah,2,100.000000
Iwan,2,90.000000
Cory,2,100.000000
Harley,2,
Ismael,2,87.000000
Gosha,2,97.000000
Enjoy,2,88.500000
Hilbert,2,92.000000
Shridhar,2,98.000000
Pepijn & Marieke,2,100.000000
Matthaios,2,95.000000
Dyanthe,2,
Dilyana,2,98.000000
Lachlan,2,
Mauk,2,100.000000
Khaled,2,95.000000
Chrissy,2,95.666667
Minos,2,91.000000
Aina,2,96.500000
Wenneke,2,98.500000
Hella,2,93.000000
Misha,2,90.000000
Flavia,2,91.000000
Melody,2,91.500000
Misak & Kors,2,95.000000
Neven,2,92.000000
Mumu,2,99.000000
Kay & Sarah,2,100.000000
Annabelle,2,96.000000
Kees & Lovisa,2,96.000000
Perry,2,93.500000
Bed & No Breakfast Slim,2,93.000000
Vincenzo,2,98.000000
Louis Nicola,2,95.000000
Giesje,2,90.000000
Kali,2,
Fried,2,95.000000
Anamaria & Leonard,2,99.000000
Tuomas,2,98.000000
Nienke & Jordy,2,93.000000
Cat,2,100.000000
Rietje,2,91.500000
Pietro,2,97.000000
Elien,2,97.000000
Aimée,2,98.000000
Jukka,2,97.000000
Peppe,2,99.000000
Georgia,2,98.666667
Nikos,2,97.000000
Olaf And Mark,2,98.500000
Lia,2,94.000000
Myriam,2,94.000000
Atefeh,2,99.500000
Steph,2,96.000000
Lisa-Laura,2,92.500000
Alice,2,96.111111
Debby,2,96.800000
Louisa,2,99.000000
Alisa,2,97.666667
Emanuela,2,99.000000
Christina,2,92.800000
Harry And Chantel,2,97.500000
Mijntje,2,99.666667
Benny,2,95.000000
Mick,2,97.750000
Nino,2,92.666667
Sietze,2,95.333333
Amandine,2,96.666667
Leonardus,2,100.000000
Maria-Anne,2,94.500000
Pim,2,97.066667
Taraq,2,91.000000
Bodine,2,99.000000
Alba,2,96.000000
Jelena,2,97.750000
Thi Vân,2,95.500000
Lois,2,96.333333
Matthias & Luc,2,100.000000
Stein,2,90.750000
Pepijn,2,95.000000
Satoshi,2,93.500000
Malou,2,91.500000
Mustafa,2,96.250000
Kathrin,2,95.800000
Jitze,2,100.000000
Flavio,2,95.000000
Madi,2,95.000000
Roman,2,94.000000
Arild,2,94.000000
Rui,2,99.000000
Perrine,2,94.000000
Jasper & Leslie,2,94.500000
"Femke, Jaap Jan",2,100.000000
Matous,2,80.000000
Don,2,94.000000
Henky,2,84.500000
Ally,2,67.500000
Sabrina,2,94.153846
Yuliya,2,98.500000
Mitch,2,92.333333
Sanja,2,96.000000
Regina,2,97.166667
Kelly,2,97.666667
Sven,2,96.100000
Houseboat,2,85.500000
Rico,2,96.000000
Osman,2,98.500000
Blair,2,91.500000
Kristiaan,2,100.000000
Timo,2,97.750000
Lizzy,2,93.000000
Dewi,2,96.666667
Georgios,2,92.250000
Erez,2,96.500000
Faruk,2,97.000000
Jorim,2,90.000000
Loes,2,94.357143
Lennart & Frederike,2,96.000000
Elisa,2,96.500000
Denis,2,85.200000
Meret,2,98.500000
Elis,2,95.000000
Jessie Jazz,2,97.500000
Heidi,2,96.666667
B,2,95.500000
Joanne,2,98.000000
Renata,2,94.200000
Puck,2,92.400000
Damian,2,99.500000
Rachell,2,95.000000
Elena,2,91.444444
Justin,2,96.333333
Ghyslaine,2,98.000000
Rik,2,93.650000
Güler,2,95.500000
Femke (Host My Home),2,98.000000
Matthew,2,97.875000
Karolina,2,94.000000
Aniek,2,94.500000
Dona,2,90.000000
Liliana,2,95.333333
Marie-Anne,2,100.000000
Cynthianne,2,70.000000
Mohamed Amine,2,92.000000
Pam,2,98.000000
Henrik,2,92.666667
Sohail,2,98.000000
Craig,2,98.000000
Saida And Tom,2,93.000000
Eugenie,2,95.000000
Dillan,2,
Javi,2,88.000000
Roberto,2,95.000000
Tecla,2,94.500000
Sheila,2,93.000000
Hilje,2,97.000000
Jeannette,2,94.714286
Britt,2,97.700000
Beca,2,96.500000
Danillo,2,100.000000
Phylicia,2,100.000000
Shermin,2,96.000000
Dorus,2,94.666667
Roszica,2,100.000000
Tanja And Peter,2,
Muriel,2,93.000000
Fatima,2,92.666667
Meelf,2,90.000000
Meiya,2,100.000000
Bikram,2,98.000000
Felicity And Michael,2,100.000000
Mehran,2,80.000000
Luna,2,90.000000
Nitin,2,88.000000
Dorottya,2,100.000000
Florentine,2,97.750000
Anne & Eric,2,99.000000
Reint,2,97.000000
Jackeline,2,
Nialler,2,92.000000
Anil,2,94.000000
Moon,2,99.000000
Ria & Ton,2,99.000000
Ferd,2,100.000000
Maw,2,
Alejandro,2,100.000000
Lucile,2,83.500000
Shahab,2,
Izzy,2,
Margo,2,92.333333
Jaden,2,85.000000
Maxine,2,98.000000
Jefferson Y Alejandra,2,60.000000
Mayun,2,100.000000
Keita,2,97.000000
Semra,2,94.666667
Azeem,2,50.000000
Paolo,2,94.250000
Veronica,2,93.000000
Sanna,2,94.000000
Emmanuelle,2,95.666667
Tjibbe,2,91.000000
Mikaela & Eugene,2,100.000000
Clea,2,96.000000
Marijn En Victor,2,99.500000
Margalit,2,100.000000
Yvo,2,97.666667
Brad,2,97.000000
Lance,2,97.000000
E,2,92.000000
Ismail,2,90.250000
Genevieve,2,95.500000
Narveet,2,92.500000
Raoul,2,92.857143
Joris & Lenneke,2,95.500000
Benjamin & Jessy,2,96.000000
Alisa & Juul,2,92.000000
Philine,2,93.000000
Bass & Meli,2,99.000000
Fanny,2,99.200000
Linde,2,92.714286
Merel & Pieter,2,99.000000
Lode,2,93.000000
Ewa,2,98.666667
Toni,2,98.500000
Gil,2,
Hassan,2,90.000000
Dorothea,2,90.500000
Arjen,2,96.125000
Nadine,2,95.200000
Willemijn,2,96.750000
Jan Willem,2,94.888889
Luz,2,96.000000
Omyra & Godiva,2,96.000000
Stefanie,2,99.272727
Tahier,2,98.000000
S,2,77.500000
Marit,2,96.230769
Noelle,2,94.000000
Richard,2,93.848485
Thomas Arthur,2,96.500000
Elles,2,100.000000
Denise,2,95.850000
Victor,2,95.000000
Elianne,2,95.000000
Sophie & Frank,2,95.000000
Niki,2,94.625000
Jonathan,2,95.307692
Melle,2,95.500000
Sas,2,97.500000
Amelie,2,98.666667
Mark,2,95.916667
Valerie,2,98.090909
Menno,2,96.571429
Bop & Eve,2,98.000000
Manja,2,93.000000
Ken,2,100.000000
Kev,2,99.000000
A,2,96.400000
Bernard,2,95.571429
Milja,2,98.500000
Luuk,2,94.300000
Jenny,2,90.666667
Vladi,2,98.500000
Andres,2,99.000000
Myrte,2,96.000000
Jose,2,93.666667
Martijn & Betina,2,98.000000
Cido,2,99.500000
C.,2,94.000000
Nancy,2,92.384615
Iris,2,94.350000
Maja,2,96.500000
Muriël,2,97.500000
Marion,2,97.181818
Marielle And Tobias,2,95.000000
Ahron,2,96.000000
Yaap,2,90.000000
Lex,2,94.428571
Anzelm,2,100.000000
August En Petra,2,98.000000
Atanas,2,98.500000
Floortje,2,94.166667
Melly,2,94.500000
Iriet,2,97.000000
Elizabeth,2,87.000000
Brigita,2,
The Bath House,2,95.000000
Aurelia,2,79.000000
Juul & Ruben,2,98.000000
Jeanine,2,94.428571
Aurora,2,100.000000
Zyad,2,86.500000
Danny,2,93.666667
Micky,2,90.500000
Jackie,2,97.857143
Jess Caroline,2,96.000000
Elise,2,93.357143
Amy,2,97.444444
Florence,2,97.000000
Justa,2,97.500000
